PEOPLE_POSITIVE_CASES_COUNT,REPORT_DATE,CONTINENT_NAME,COUNTRY_ALPHA_3_CODE,COUNTRY_SHORT_NAME,Month
116517,10/20/2020,Asia,ARE,United Arab Emirates,October
136036,10/20/2020,Asia,NPL,Nepal,October
349519,10/20/2020,Asia,TUR,Turkey,October
342583,10/20/2020,Asia,SAU,Saudi Arabia,October
147,10/20/2020,Asia,BRN,Brunei Darussalam,October
78224,10/20/2020,Asia,BHR,Bahrain,October
37205,10/20/2020,Asia,MMR,Myanmar,October
359169,10/20/2020,Asia,PHL,Philippines,October
3700,10/20/2020,Asia,THA,Thailand,October
326,10/20/2020,Asia,MNG,Mongolia,October
129671,10/20/2020,Asia,QAT,Qatar,October
10533,10/20/2020,Asia,TJK,Tajikistan,October
430678,10/20/2020,Asia,IRQ,Iraq,October
62944,10/20/2020,Asia,LBN,Lebanon,October
25333,10/20/2020,Asia,KOR,South Korea,October
63737,10/20/2020,Asia,UZB,Uzbekistan,October
52910,10/20/2020,Asia,KGZ,Kyrgyzstan,October
304876,10/20/2020,Asia,ISR,Israel,October
2060,10/20/2020,Asia,YEM,Yemen,October
11232,10/20/2020,Asia,MDV,Maldives,October
5134,10/20/2020,Asia,SYR,Syria,October
40287,10/20/2020,Asia,AFG,Afghanistan,October
365240,10/20/2020,Asia,IDN,Indonesia,October
534631,10/20/2020,Asia,IRN,Iran,October
38937,10/20/2020,Asia,JOR,Jordan,October
91006,10/20/2020,Asia,CHN,China,October
330,10/20/2020,Asia,BTN,Bhutan,October
145603,10/20/2020,Asia,KAZ,Kazakhstan,October
23,10/20/2020,Asia,LAO,Laos,October
57915,10/20/2020,Asia,SGP,Singapore,October
29,10/20/2020,Asia,TLS,Timor Leste,October
93480,10/20/2020,Asia,JPN,Japan,October
285,10/20/2020,Asia,KHM,Cambodia,October
110594,10/20/2020,Asia,OMN,Oman,October
7597063,10/20/2020,Asia,IND,India,October
52526,10/19/2020,Asia,KGZ,Kyrgyzstan,October
530380,10/19/2020,Asia,IRN,Iran,October
58539,10/19/2020,Asia,PSE,Palestine,October
129431,10/19/2020,Asia,QAT,Qatar,October
2059,10/19/2020,Asia,YEM,Yemen,October
5077,10/19/2020,Asia,SYR,Syria,October
1134,10/19/2020,Asia,VNM,Vietnam,October
7550273,10/19/2020,Asia,IND,India,October
29,10/19/2020,Asia,TLS,Timor Leste,October
11210,10/19/2020,Asia,MDV,Maldives,October
23,10/19/2020,Asia,LAO,Laos,October
3691,10/19/2020,Asia,THA,Thailand,October
57911,10/19/2020,Asia,SGP,Singapore,October
